source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
3098404220680931968,124.1286317978316,9.185323935788704,10.102592897316667,3.0001826,1.5984769,-45.67916058543277,-49.50480605477476,
4314399312979641728,286.3525049765623,13.863053278714878,38.23294898965933,3.001118,0.30376935,-6.57492134089543,-95.90884032512517,
2896572746685604480,95.07833734068376,-30.06334878363528,9.49220621127137,3.0076509,0.06975937,6.084451056045602,4.247413057587071,
6586825380598949632,328.4827688631597,-37.36494848913747,17.808001236182314,3.0138354,0.13039613,110.44546730080081,-17.160865664665714,2.9258134
757565233820538752,169.61959969105789,33.0944300347131,7.982310491470233,3.0204449,1.5898306,-26.138812034262333,27.891993400528,
1696877570753454208,230.1818712785812,71.83410165777194,6.595867221744522,3.0218675,0.4629395,-15.907549565254666,17.145613499942602,
1487434040320076800,218.01881769228896,38.30892269460632,37.91254655500852,3.022188,0.4798348,-114.34365542209365,151.78788107079836,
5614471482318442240,117.32353878305732,-24.859795343600315,3.0058993777046874,3.0238004,1.3292952,-3.6099999850539417,-2.5793914773125874,
5786929090848333568,211.33111350491527,-76.79690699917452,8.380805497629552,3.0503223,3.525211,-88.58553009373166,-32.65504168156829,
2162316545207257600,316.2328118253326,43.9278571769806,2.836313901245389,3.0638983,1.7368188,10.061681773655254,0.8611772003377918,
5971289565647972608,252.96755916146594,-38.047480863426145,1.873246274472837,3.069865,-0.013882637,-10.451212393635913,-18.31486822108928,
1018776176872261248,143.20753978122536,51.67490604097004,73.82839808283359,3.0717425,0.8285754,-942.5671400184004,-542.0162846102697,
4164319171172759040,269.75659946779956,-9.77415085090108,22.903060175843585,3.0769866,1.2523377,-7.706553230379911,-116.38040170182684,
3288921720025503360,72.46212402119102,6.9613310085374644,124.61980141424488,3.0879216,0.8058183,463.9544034849098,11.937009936843957,
196944217825405184,89.98371736337808,45.936700316237285,4.515407302318046,3.0882971,2.294921,-3.754685873034695,-7.78494986526491,
1061909811871141504,172.85040436553678,69.33099194674183,8.645797394390561,3.1029344,1.8182423,-41.23980723462354,-18.851433095729824,
6058271964884299520,185.33849318733613,-60.40074016126815,14.199861521996095,3.1038253,1.5515676,-171.22298451399928,91.7950951944146,
5926920079553285760,252.44682140759986,-59.04149532374984,10.699331962178958,3.1050086,1.7179904,38.98964039718318,-26.094642930199186,
1014058103758571520,134.7989643318015,48.040871471105525,68.00099930164292,3.120973,0.50758815,-439.83552453066625,-214.0709500414631,13.000446
4676528209144882304,63.60655843373849,-62.473612611773696,20.34313182746785,3.1259058,1.1488793,45.06855876071067,42.94752571508745,
5333974693006467328,173.94499364430385,-63.01986715208006,8.276956632943902,3.1292858,0.27234888,-33.86288401530731,-7.235567957846115,
4573412435280434560,258.7578570009893,24.83850638924531,42.48084539964649,3.130809,0.34447908,-20.95395629310213,-156.76715982654696,
2470140321630664064,17.148438895614227,-10.182882334720631,27.060320608827386,3.1326482,1.3475201,215.92223883038398,-139.02898214239448,
3400796031719045632,83.05313628063799,18.59421655157538,1.5207023448393597,3.1337926,2.329281,0.9565282493019445,-4.511302181298485,
6444391655040244992,300.4366214992657,-59.37600436673482,5.910175014550325,3.137527,3.1189632,21.29069166580847,-24.314009837152224,
6210176643031265920,234.25595511298545,-28.135058413293958,15.526662420405081,3.1413295,1.5495112,-16.26113271216898,11.71084483256042,
454491381981202944,42.67433778950114,55.89543428763181,3.265744722465881,3.1448548,1.7528703,16.34593379861261,-13.51791178717059,
5964991494281655808,253.64509209283676,-42.36233289362051,24.23533101426504,3.1452072,1.531151,-126.7206136099607,-228.83732907409123,
1041808368494264576,127.56491125025244,60.71768972076183,17.933453100456937,3.1493552,1.1214743,-133.6435612588574,-107.664450660585,
6195030801635544704,202.42798835570676,-23.28126748094725,6.735509777640576,3.1524858,4.51126,-54.21311701177379,11.79364794852804,
1632499034644723968,257.1964366984523,65.7147909130057,7.8274239118414135,3.1570117,0.029368877,-16.54968473371583,32.75683370175901,
200929706966014976,75.6195856403002,41.075746103013174,1.4243804312657276,3.1632786,1.6257279,12.092598067774258,-19.324312001804586,
1284537517514584704,217.95693766582724,30.371969326102114,19.854976065680784,3.164287,1.4698334,-100.53064484129288,119.86987605195637,
5849837854861497856,220.62472315663254,-64.97617739215704,60.99295526213351,3.1673613,0.54018545,-193.16869633052895,-234.98229207390125,
1621259036510505344,224.3950073429196,65.9325976765071,9.85144476370445,3.1697965,2.5372167,-79.45695685826611,33.561441871200365,
201261278441958656,76.62890153390961,41.23417207468237,14.020760617529195,3.1723478,-0.08008838,29.77063204785774,-68.32510056257638,
5557271829408912896,99.4402993342767,-43.19595283798712,8.819388529207934,3.1752331,0.09882474,-0.5372637439909058,-3.858982012461863,31.464748
2195115561168483712,311.32320634108095,61.84241929401267,69.597553957676,3.1779127,1.1867034,85.99344103538436,818.4511251587252,
5888394463447019392,228.07041450548323,-52.099569942966866,28.761642265080166,3.1800218,1.1716576,-112.90038746628365,-72.27824484133066,
4084834822776246272,284.43266047869355,-21.106717827235787,8.40922893943697,3.1887186,1.3509386,33.5197503293226,-13.552396564112811,
399402894487590144,24.498581855369736,48.62771419048821,18.548940022155016,3.2095633,1.4348543,62.967890999140955,-111.99850743934499,
1278391075717325312,228.87612720122996,33.31433528392251,27.074645953253125,3.2112799,1.2281203,84.38252627225717,-111.5907867978561,
4942522955488925696,28.41082402017747,-46.30305481100173,9.749879129317257,3.213741,2.3134608,-91.67566180976576,-86.74601339024062,
6005678131793146752,230.34292059535883,-40.64760760160889,6.729571945649031,3.2144635,-0.1507957,-9.163472845382556,-17.377300687472946,
6750856228950043264,300.6646666593532,-27.70978078962147,7.267748469925214,3.220193,2.377509,32.77673560045311,14.300311269635918,
2211820991085587584,342.41934656416254,66.19984964631519,27.286898448831035,3.222498,1.2832088,-65.94656790624168,-124.96706267589808,
2429978803998630400,4.856910935281447,-8.824082129756166,11.699612841220237,3.226718,1.3905072,-14.609779909426761,-36.66823328410835,
3561350430457837056,169.83463212005861,-14.777619467275395,17.017002054524486,3.2277887,1.3550568,-122.9583056007642,207.0831087899795,
5044368071870093312,44.56501351690538,-40.30457515963677,19.904727809253604,3.2283852,0.4197197,-52.27269655179602,23.057745996331313,
5965222838410499328,258.03844060290766,-43.240469434978955,44.57114676930468,3.2345328,0.72117686,21.615861680354477,-287.9783893005375,
4594497769766809216,266.6132135058437,27.717275040505413,119.92480848370072,3.2384055,1.0220034,-312.0873775804219,-773.1790550724331,
1352588216303348608,250.7242233003289,38.92187538840611,29.259479569758373,3.2446299,1.1990156,35.48159208640796,-85.39456849632069,
1296713990316692096,225.4862720556191,40.39043449121325,13.878018045623234,3.244982,1.1887541,-40.70832732772827,-30.167885429277188,
3352485999058854912,101.32182967483567,12.89474308933157,54.189438370902394,3.2463484,0.69255114,-114.56401293447146,-191.67097112394018,
5253796346624992128,158.00593262490582,-61.68528632440866,6.443814896756056,3.247181,0.10184884,-18.347730252675635,10.266430315647312,
2043823929421342848,284.73591160914657,32.68956324554115,4.965623359553961,3.2489738,0.23184443,-2.979656761569392,1.6885986828730914,-19.554564
4224225924761329792,302.82635270631516,-0.8214431669930159,14.26869844083396,3.249787,0.11145949,35.58178444800484,4.596020432504421,
5843518239925459456,195.57143877146018,-71.5489615462354,37.38863264139122,3.25495,1.3763945,263.7005052923015,-23.069019770614634,
3748360796947806208,156.52201077113986,-16.836644983402508,13.370995858159528,3.2667334,1.7062087,-128.8188947951205,-80.18517142565183,
488354175450563968,57.380326534704494,65.52591009149197,3.32880597098895,3.267435,2.304491,0.3185032622522419,-15.593321938080242,
